number,law,method,stage,object,customer,price_rub,posted,region
0865200000326000815,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка канцелярской продукции,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ТОМСКОЙ ОБЛАСТИ""",502416.84,23.06.2026,Томской
0372200121326000103,44-ФЗ,Запрос котировок в электронной форме,Подача заявок,Поставка сантехнического оборудован ия для оснащения комплекса производственных помещений учебн ого полигона в 2026 году,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ КУЛИНАРНОГО МАСТЕРСТВА""",192995.33,07.07.2026,Санкт-Петербург
0372200171126000053,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка оборудован ия для обеспечения учебн ого процесса по специальности «Технология индустрии красоты» и «Технология парикмахерского искусства» СПб ГБ ПОУ ""Охтинский колледж"" в 2026 году (Весы электронные)","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОХТИНСКИЙ КОЛЛЕДЖ""",10000.0,29.06.2026,Санкт-Петербург
32616184136,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,"Поставка учебн ого оборудован ия для лаборатории ""Обработка металлов давлением"" ГАПОУ СО ""ВСАМК им. А.А. Евстигнеева""","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ВЕРХНЕСАЛДИНСКИЙ АВИАМЕТАЛЛУРГИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ А.А.ЕВСТИГНЕЕВА""",1252290.0,07.07.2026,Свердловской
0819600006026000176,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""Музыка""","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",55550.0,26.06.2026,Не определён
32616177451,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,Приобретение учебн ого оборудован ия для направления в филиал  МАОУ «Кутарбитская СОШ» - Тахтагульская НОШ»,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КУТАРБИТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",3164964.85,03.07.2026,Не определён
0819600006026000177,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""ИЗО"" (гипсовые модели)","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",54208.67,26.06.2026,Не определён
0152200004726000514,44-ФЗ,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства в соответствии с п. 8 ч. 1 ст. 33 Закона №",Определение поставщика завершено,"Выполнение работ по капитальному ремонту здания учебн ого корпуса, расположенного по адресу: г.Омск, ул. Добролюбова д.15 Литера Б (ремонт электро оборудован ия и электроосвещения) (Реестровый номер 26.33.0556)",ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ,523941.3,26.06.2026,Омской
0152200004726000515,44-ФЗ,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства в соответствии с п. 8 ч. 1 ст. 33 Закона №",Определение поставщика завершено,"Выполнение работ по капитальному ремонту здания учебн ого корпуса, расположенного по адресу: г.Омск, ул. Добролюбова д.15 Литера Б1 (ремонт электро оборудован ия и электроосвещения) (Реестровый номер 26.33.0557)",ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ,532361.99,26.06.2026,Омской
0133200001726001798,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ого оборудован ия «Лаборатория гидравлики и теплотехники» в рамках федерального проекта «Профессионалитет».,ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ,11697497.66,18.06.2026,Ивановской
32616168748,223-ФЗ,Иной способ,Закупка завершена,Поставка Учебн о-производственного оборудован ия для БПЛА зоны в рамках федерального проекта «Профессионалитет» государственной программы Российской Федерации «Развитие образования» для нужд ГБПОУ «Ардатовский аграрный техникум»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АРДАТОВСКИЙ АГРАРНЫЙ ТЕХНИКУМ""",9132970.0,01.07.2026,Не определён
0157200000326000740,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Оборудование и расходные материалы для обучения по специальности ""Эксплуатация беспилотных авиационных систем"" (регистрационный номер: 786-А-ГЗ)",МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ ПСКОВСКОЙ ОБЛАСТИ,7887812.0,25.06.2026,Псковской
0372200083526000047,44-ФЗ,Электронный аукцион,Подача заявок,Поставка оборудован ия для кабинета основы безопасности и защиты Родины (ОБЗР),"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ СЕРВИСА И ИНДУСТРИАЛЬНЫХ ТЕХНОЛОГИЙ""",1592058.77,01.07.2026,Санкт-Петербург
0372200121326000102,44-ФЗ,Запрос котировок в электронной форме,Подача заявок,Поставка оборудован ия для оснащения комплекса производственных помещений учебн ого полигона в 2026 году (Лот №5),"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ КУЛИНАРНОГО МАСТЕРСТВА""",77803.39,07.07.2026,Санкт-Петербург
32616149454,223-ФЗ,Иной способ,Закупка завершена,Технологическое оборудование для учебн ого процесса по технологии для мальчиков,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 22 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА ДМИТРИЯ КАРБЫШЕВА,547880.0,25.06.2026,Не определён
0333300004026000002,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Работа комиссии,,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ № 36""",26416.67,07.07.2026,Не определён
0372200131726000593,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Выполнение работ по техническому обслуживанию медицинского оборудован ия для нужд СПб ГБУЗ «ГМПБ №2» в 2026 году,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА № 2""",1354280.0,29.06.2026,Санкт-Петербург
0324300067726000015,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка системы электронного поражения,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""НОВАЯ ЗЕМЛЯ""",755556.69,30.06.2026,Не определён
32616131477,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия для Медицинского колледжа,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""",3433950.0,19.06.2026,Не определён
0387200004526000009,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Учебное оборудование для отработки практических навыков тренажеры и манекены (10 позиций),"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""НИЖНЕВАРТОВСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""",900816.7,26.06.2026,Ханты-мансийского
0372200088026000005,44-ФЗ,Электронный аукцион,Подача заявок,Осуществление закупки учебн ого оборудован ия для оснащения кабинета физики,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 481 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ НЕМЕЦКОГО ЯЗЫКА КИРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,861898.33,01.07.2026,Санкт-Петербург
32616157645,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Работа комиссии,Поставка оборудован ия для обеспечения учебн ого процесса по специальности 43.02.17 Технологии индустрии красоты,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ СЕРВИСА""",742537.56,29.06.2026,Не определён
0848300048226000223,44-ФЗ,Электронный аукцион,Работа комиссии,"Оснащение помещений здания по адресу: Московская обл., м. о. Истра, д. Красный Посёлок, б-р Школьный, д.1 (Лот №14.1)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК""",15467430.64,08.06.2026,Не определён
32616157787,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,Поставка учебн о-производственного оборудован ия для оснащения мастерской по образовательной программе «Обогатитель полезных ископаемых»,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КРАСНОТУРЬИНСКИЙ ПОЛИТЕХНИКУМ""",9517144.63,29.06.2026,Свердловской
0172200004926000211,44-ФЗ,Открытый конкурс в электронной форме,Работа комиссии,Поставка мебели для нужд ГБОУ школа №575 Приморского района Санкт-Петербурга,АДМИНИСТРАЦИЯ ПРИМОРСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,16141072.9,18.06.2026,Санкт-Петербург
0372200019426000019,44-ФЗ,Электронный аукцион,Работа комиссии,Поставка учебн о-демонстрационного оборудован ия для ГБОУ СОШ №434 Курортного  района Санкт-Петербурга в 2026 году,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 434 КУРОРТНОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,467752.78,29.06.2026,Санкт-Петербург
0711200027426000019,44-ФЗ,Электронный аукцион,Работа комиссии,Поставка робототехнического оборудован ия,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЗАНСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""",3073413.34,29.06.2026,Не определён
0843500000226003809,44-ФЗ,Запрос котировок в электронной форме,Работа комиссии,Поставка БПЛА и сопутствующего оборудован ия,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""",1499969.0,30.06.2026,Курганской
0373100076226000007,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Оборудование обработки и воспроизведения звукового сигнала для систем гибридного обучения для потоковых аудиторий и учебн ых аудиторий,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ СПОРТА ""ГЦОЛИФК""",2925260.0,30.06.2026,Не определён
32616181283,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,Поставка учебн о-лабораторного оборудован ия,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ""",165383.33,06.07.2026,Не определён
0832200006626000524,44-ФЗ,Электронный аукцион,Подача заявок,"Мебель для учебн ых кабинетов (столы компьютерные на металлокаркасе с подставкой, кресла поворотные регулируемые, шкафы для одежды широкие закрытые, шкафы для учебн ых пособий, столы ученические регулируемые,  стулья ученические регулируемые, столы ученические лабораторные)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""",2839250.0,03.07.2026,Нижегородской
0118300018726000732,44-ФЗ,Электронный аукцион,Подача заявок,Приобретение движимого имущества для обеспечения функционирования вновь созданных и (или) создаваемых мест в муниципальных образовательных организациях (МОБУ Лицей №3 г. Сочи),АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ГОРОД-КУРОРТ СОЧИ КРАСНОДАРСКОГО КРАЯ,4332116.71,02.07.2026,Краснодарского
0372500002526000029,44-ФЗ,Запрос котировок в электронной форме,Подача заявок,"Поставка оборудован ия для оснащения предметных кабинетов общеобразовательных организаций по учебн ым предметам ""Физика"" (Лот 2)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 99 ""СТАРТ"" ПЕТРОГРАДСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА",170603.34,06.07.2026,Санкт-Петербург
32616180805,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,0869/Поставка учебн ого оборудован ия для отработки практических навыков (Лаборатория технологии продуктов питания из растительного сырья) в рамках реализации федерального проекта «Кадры в агропромышленном комплексе» субъектами малого и среднего предпринимательства,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ЦЕНТР ОПЕРЕЖАЮЩЕЙ ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКИ""",6227800.0,06.07.2026,Воронежской
0373100029526000202,44-ФЗ,Электронный аукцион,Подача заявок,Поставка лабораторного оборудован ия,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",8051800.0,01.07.2026,Не определён
32616180672,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,"Поставка оборудован ия для организации учебн ого процесса по предмету ""Основы безопасности и защиты Родины""",МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА МАРИНЫ РАСКОВОЙ,134469.99,06.07.2026,Не определён
32616180667,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,Поставка технологического оборудование для учебн ого процесса по технологии для мальчиков,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА МАРИНЫ РАСКОВОЙ,809883.26,06.07.2026,Не определён
32616149465,223-ФЗ,Иной способ,Закупка завершена,"Оборудование , инструменты и приспособления для организации учебн ого процесса по предмету технология.",МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 22 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА ДМИТРИЯ КАРБЫШЕВА,781121.96,25.06.2026,Не определён
32616164346,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Подача заявок,0843/Поставка учебн ого оборудован ия для оснащения образовательной лаборатории «Материаловедение и технические измерения» в рамках ФП «Профессионалитет»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""БОРИСОГЛЕБСКИЙ ТЕХНИКУМ ПРОМЫШЛЕННЫХ И ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",4414227.05,30.06.2026,Воронежской
32616164110,223-ФЗ,Иной способ,Закупка завершена,Поставка Учебн о-производственного оборудован ия  в рамках федерального проекта «Профессионалитет» государственной программы Российской Федерации «Развитие образования» для нужд ГБПОУ «Ардатовский аграрный техникум»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АРДАТОВСКИЙ АГРАРНЫЙ ТЕХНИКУМ""",5641017.0,30.06.2026,Не определён
32616178490,223-ФЗ,Иной способ,Закупка завершена,"Поставка учебн о-лабораторного оборудован ия для МАОУ СОШ №50 по адресу: Краснодарский край, г. Краснодар, пос. Берёзовый, ул. им. Профессора Малигонова 48/2.",МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №50 ИМЕНИ НИНЫ ФУРСОВОЙ,2221753.04,06.07.2026,Не определён
0338100004826000064,44-ФЗ,Электронный аукцион,Определение поставщика отменено,(П761) Оборудование учебное лабораторное,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАМЧАТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ВИТУСА БЕРИНГА""",11681536.66,29.06.2026,Не определён
0319100009026000047,44-ФЗ,Электронный аукцион,Подача заявок,Поставка интерактивных панелей с раздвижной рельсовой системой  классной доски,"КРАСНОЯРСКИЙ ИНСТИТУТ ВОДНОГО ТРАНСПОРТА - ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ВОДНОГО ТРАНСПОРТА""",900000.0,06.07.2026,Не определён
0373200011426001033,44-ФЗ,Электронный аукцион,Подача заявок,"Оказание услуг по техническому обслуживанию зданиий, сооружений, их элементов, инженерных сетей и оборудован ия в учебн о-лабораторном центре ГБУЗ «ГКБ № 67 им. Л. А. Ворохобова ДЗМ» по адресу: г. Москва, ул. Саляма Адиля, д.7","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67 ИМЕНИ Л. А. ВОРОХОБОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",8491286.72,06.07.2026,Не определён
0372200085326000021,44-ФЗ,Запрос котировок в электронной форме,Подача заявок,Поставка оборудован ия учебн ого интерактивного для Государственного бюджетного общеобразовательного учреждения гимназия № 628 Красногвардейского района Санкт-Петербурга «Александринская гимназия» для нужд Санкт-Петербурга в 2026 году,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГИМНАЗИЯ № 628 КРАСНОГВАРДЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ""АЛЕКСАНДРИНСКАЯ ГИМНАЗИЯ""",111163.33,06.07.2026,Санкт-Петербург
0711200027326000003,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка медицинского оборудован ия для учебн ых целей для нужд ГАПОУ «Казанский медицинский колледж»,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЗАНСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""",999999.98,26.06.2026,Не определён
0134300063026000108,44-ФЗ,Электронный аукцион,Подача заявок,Поставка оборудован ия для организации учебн ого процесса по программе подготовки операторов БПЛА,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""НИЖНЕУДИНСКИЙ РАЙОН""",501872.97,03.07.2026,Не определён
32616154582,223-ФЗ,Иной способ,Закупка завершена,Право заключения договора на поставку учебн ого оборудован ия (манекен для отработки навыков базовой сердечно-легочной реанимации) для нужд ФГБОУ ВО Казанский ГМУ Минздрава России,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",230305.26,26.06.2026,Не определён
32616177430,223-ФЗ,Иной способ,Закупка завершена,поставка учебн о-лабораторного оборудован ия для классов естественно-научного профиля и ОБЗР,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 66 ИМЕНИ ЕВГЕНИЯ ДОРОША,24570112.0,03.07.2026,Не определён
0365100014826000371,44-ФЗ,Электронный аукцион,Подача заявок,"Канцелярские, хозяйственные и иные товары для обеспечения учебн ой, медицинской и научной деятельности: поставка расходных материалов для хроматографии","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",1212437.6,06.07.2026,Не определён
32616178672,223-ФЗ,Иной способ,Закупка завершена,Приобретение учебн ого оборудован ия для занятий в кружке ЮИД,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА КАЛИНИНГРАДА ДВОРЕЦ ТВОРЧЕСТВА ДЕТЕЙ И МОЛОДЕЖИ,308475.0,06.07.2026,Не определён
32616154976,223-ФЗ,"Аукцион в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Работа комиссии,0868/Поставка учебн ого оборудован ия для отработки практических навыков в рамках реализации федерального проекта «Кадры в агропромышленном комплексе» субъектами малого и среднего предпринимательства,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ ""ЦЕНТР ОПЕРЕЖАЮЩЕЙ ПРОФЕССИОНАЛЬНОЙ ПОДГОТОВКИ""",7267931.0,26.06.2026,Воронежской
