number,law,method,stage,object,customer,price_rub,posted,region
0744200000226005460,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка оборудован ия для реализации общеобразовательных программ по учебн ому предмету ""Музыка""","ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК КУРСКОЙ ОБЛАСТИ""",16000.0,23.06.2026,Курской
0372200025926000047,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка комплекта оборудован ия и товаров для обучения трудовым процессам в сварочной мастерской в 2026 году,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВТОМЕХАНИЧЕСКИЙ КОЛЛЕДЖ""",18935002.0,19.06.2026,Санкт-Петербург
0352100007826000102,44-ФЗ,Электронный аукцион,Подача заявок,Поставка учебн ых стендов по БПЛА,"ОМСКИЙ ИНСТИТУТ ВОДНОГО ТРАНСПОРТА - ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ВОДНОГО ТРАНСПОРТА""",1350000.0,30.06.2026,Не определён
0815500000526009157,44-ФЗ,Электронный аукцион,Подача заявок,Комплексная поставка оборудован ия для оснащения учебн ых кабинетов в МБОУ «Вурнарская СОШ №1 им. И.Н.Никифорова» п. Вурнары Чувашской Республики,"КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""",365391.0,30.06.2026,Чувашской
0372200076126000010,44-ФЗ,Электронный аукцион,Подача заявок,Поставка учебн ого оборудован ия для оснащения кабинета физики,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГИМНАЗИЯ № 248 КИРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,290255.76,29.06.2026,Санкт-Петербург
0190200000326007206,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ых лабораторных стендов,ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА,2995000.0,17.06.2026,Ямало-ненецкого
0344100003426000095,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка типовых комплектов учебн ого оборудоваия (трехфазные электрические сети),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КУРСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ ИМЕНИ И.И. ИВАНОВА""",704984.7,16.06.2026,Не определён
0372100052926000578,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн ого оборудован ия,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СЕВЕРО-ЗАПАДНЫЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМЕНИ И.И. МЕЧНИКОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",9800000.0,18.06.2026,Не определён
0336100003926000003,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЛЯЗИНСКИЙ КОЛЛЕДЖ ИМЕНИ Н. М. ПОЛЕЖАЕВА""",564300.0,29.06.2026,Не определён
0168300008826000034,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оборудование для кабинета ИЗО,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""НОВОМАЛЫКЛИНСКИЙ РАЙОН""",243960.0,18.06.2026,Не определён
0360300091026000010,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка оборудован ия для обеспечения образовательного процесса в центре образования естественно-научной и технологической направленности на базе МБОУ – СОШ  с. Росташи Аркадакского района Саратовской области,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ - СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА СЕЛА РОСТАШИ АРКАДАКСКОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ,51000.0,19.06.2026,Саратовской
0843500000226003565,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка БПЛА и сопутствующего оборудован ия,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""",1435677.02,18.06.2026,Курганской
0852500000126002424,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка учебн ого оборудован ия в рамках субсидии в целях финансового обеспечения затрат Получателя, связанных с приобретением : оборудован ия, программного обеспечения, необходимого для реализации программы деятельности центра или образовательного кластера, проведением капитального ремонта учебн ой и производственной инфраструктуры, приобретением учебн иков и учебн ых пособий, а также учебн о-методических материалов, средств обучения и воспитания, направленных на формирование компетенций обучающихся по работе на оборудован ии, приобретенном в соответствии с целями предоставления Субсидии: достижения результатов федерального проекта ""Профессионалитет"" государственной программы ""Развитие образования"" (Реестровый номер 26.0396)","КАЗЕННОЕ УЧРЕЖДЕНИЕ ОМСКОЙ ОБЛАСТИ ""ЦЕНТР ЗАКУПОК ТОВАРОВ, РАБОТ, УСЛУГ""",16585242.35,17.06.2026,Омской
0319100025326000073,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оказание услуг по обслуживанию технических средств и программного обеспечения информационно-образовательной системы,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КРАСНОЯРСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. В.П. АСТАФЬЕВА""",2400000.0,18.06.2026,Не определён
